=== TOKENS ENCONTRADOS ===
TOKEN                LEXEMA               LINEA      COLUMNA   
EZH_DE               ʅ                    65         21        
FINLINEA             ?                    65         23        
IDENTIFIER           num1                 66         4         
ASIGNA               =                    66         9         
INTEGER_LITERAL      2                    66         11        
FINLINEA             ?                    66         13        
RETURN               return               67         4         
IDENTIFIER           num2                 67         11        
FINLINEA             ?                    67         15        
END_BLOC             /                    68         1         
